id;calendar_id;holiday_date;label;is_recurrent
1;1;2025-01-01;"Confraternização Universal";1
2;1;2025-04-18;"Paixão de Cristo";1
3;1;2025-04-21;"Tiradentes";1
4;1;2025-05-01;"Dia Mundial do Trabalho";1
5;1;2025-09-07;"Independência do Brasil";1
6;1;2025-10-12;"Nossa Senhora Aparecida";1
7;1;2025-11-02;"Finados";1
8;1;2025-11-15;"Proclamação da República";1
9;1;2025-11-20;"Dia Nacional de Zumbi e da Consciência Negra";1
10;1;2025-12-25;"Natal";1
11;2;2025-07-09;"Revolução Constitucionalista de 1932";1
12;5;2025-01-25;"Aniversário da Cidade de São Paulo";1
13;5;2025-06-19;"Corpus Christi";0
14;3;2025-07-26;"Dia de Santa Ana (Padroeira)";1
15;3;2025-11-14;"Aniversário da Emancipação de Santana de Parnaíba";1
16;4;2025-06-19;"Corpus Christi";0
17;4;2025-06-24;"Dia do Padroeiro (São João Batista)";1
