"id";"complex_id";"size"
1;1;39.0
2;1;39.6
3;1;48.0
4;1;48.6
5;1;49.12
6;1;49.56
7;1;50.0
8;1;59.24
9;1;79.19
10;1;81.35
11;1;96.7
12;2;196.0
13;2;197.0
14;2;201.0
15;2;306.0
16;3;86.56
17;4;311.51
18;4;295.68
19;4;319.34
20;4;224.51
21;4;228.53
22;4;197.25
23;4;183.87
24;4;203.81
25;4;139.39
26;4;140.0
27;4;136.39
28;4;234.79
29;4;223.0
30;4;242.42
31;4;168.43
32;4;172.25
33;5;100.8
34;5;143.61
35;5;116.62
36;5;72.99
37;5;190.0
38;5;179.87
39;5;135.1
40;5;155.23
41;5;96.51
42;5;72.62
43;6;142.77
44;6;156.58
45;6;123.12
46;6;116.37
47;6;115.82
48;6;94.47
49;6;94.12
50;7;296.95
51;8;107.56
52;9;26.11
53;9;38.68
54;9;38.82
55;9;52.78
56;9;26.11
57;9;38.32
58;9;53.35
59;10;175.08
60;11;162.24
61;12;172.7
62;12;156.04
63;12;122.0
64;12;186.68
65;12;146.62
66;12;142.27
67;12;112.62
68;12;111.89
69;12;180.37
70;12;175.32
71;12;182.41
72;13;141.09
73;13;125.37
74;13;89.14
75;13;213.69
76;13;82.5
77;13;54.33
78;13;58.03
79;13;57.33
80;13;59.83
81;13;56.13
82;13;55.51
83;14;164.42
84;15;39.6
85;15;43.78
86;15;38.82
87;15;40.3
88;15;43.9
89;16;61.04
90;16;52.75
91;16;122.95
92;16;114.66
93;17;153.6
94;17;260.02
95;18;168.14
96;18;309.54
97;19;39.09
98;19;57.84
99;19;46.25
100;20;98.33
101;21;127.46
102;21;252.54
103;22;91.52
104;23;109.85
105;24;64.0
106;24;62.5
107;24;69.5
108;25;55.93
109;25;119.35
110;25;116.05
111;26;421.82
112;26;713.03
113;27;68.19
114;27;48.08
115;27;63.8
116;27;76.1
117;27;122.16
118;27;118.46
119;27;123.58
120;27;124.94
121;27;127.07
122;27;121.57
123;27;120.75
124;27;120.33
125;27;118.15
126;27;88.03
127;27;85.32
128;27;86.2
129;27;83.14
130;27;113.03
131;27;126.18
132;27;103.12
133;28;79.8
134;28;60.36
135;29;62.22
136;29;86.52
137;30;77.11
138;30;76.04
139;31;90.28
140;32;0.0
141;33;57.63
142;33;77.1
143;34;84.38
144;34;78.08
145;35;0.0
146;36;0.0
147;37;235.86
148;37;246.65
149;37;333.92
150;37;340.01
151;38;162.02
152;38;164.88
153;39;94.12
154;40;84.17
155;40;80.2
156;41;128.16
157;42;106.29
158;42;109.32
159;42;218.31
160;43;75.0
161;43;74.0
162;44;111.23
163;44;201.46
164;45;65.68
165;45;53.9
166;45;47.94
167;45;50.65
168;46;72.22
169;46;77.03
170;46;71.68
171;46;99.56
172;46;108.78
173;47;58.14
174;47;66.23
175;48;61.3
176;48;73.02
177;48;59.15
178;48;34.22
179;48;36.02
180;49;57.0
181;49;63.0
182;49;64.0
183;49;75.0
184;49;76.0
185;49;87.0
186;49;79.0
187;49;163.0
188;49;106.0
189;49;108.0
190;49;111.0
191;49;115.0
192;49;230.0
193;50;91.0
194;50;94.3
195;50;91.62
196;50;94.89
197;50;93.69
198;50;96.96
199;51;96.43
200;51;74.22
201;51;86.83
202;51;65.57
203;52;110.24
204;52;105.85
205;52;133.14
206;53;238.0
207;53;425.0
208;53;200.0
209;53;387.5
210;53;389.8
211;53;328.8
212;53;636.8
213;53;330.8
214;54;185.45
215;54;191.65
216;54;279.75
217;54;188.93
218;54;200.76
219;54;217.79
220;54;124.86
221;54;98.02
222;54;264.59
223;54;150.81
224;54;154.17
225;54;137.91
226;54;152.85
227;54;123.82
228;54;439.61
229;54;344.25
230;55;261.14
231;55;258.0
232;55;500.12
233;55;494.93
234;56;202.0
235;57;107.42
236;57;78.64
237;57;79.06
238;57;150.0
239;57;158.02
240;57;152.82
241;58;106.76
242;58;104.43
243;58;106.47
244;58;98.91
245;58;76.3
246;58;69.64
247;58;64.12
248;58;146.14
249;59;174.29
250;59;150.49
251;59;192.55
252;59;248.98
253;59;329.89
254;60;66.38
255;60;50.31
256;60;50.63
257;61;66.66
258;61;66.38
259;61;63.02
260;61;66.4
261;62;77.63
262;62;66.74
263;62;50.05
264;62;135.19
265;62;108.09
266;62;213.94
267;62;168.64
268;62;70.27
269;63;91.21
270;63;96.16
271;63;78.36
272;63;88.64
273;63;48.2
274;63;74.05
275;63;68.02
276;63;42.24
277;63;68.7
278;63;67.72
279;63;142.37
280;63;135.03
281;63;110.65
282;63;82.21
283;63;79.2
284;63;172.17
285;63;68.71
286;63;177.6
287;63;145.13
288;63;142.72
289;64;339.49
290;64;206.47
291;64;350.63
292;65;185.05
293;65;177.48
294;65;176.97
295;65;185.56
296;65;342.82
297;65;136.05
298;65;145.77
299;65;153.08
300;66;0.0
301;67;75.5
302;67;62.4
303;67;65.37
304;67;63.59
305;67;62.41
306;67;73.0
307;68;334.0
