zip_code;neighborhood;city;state;sector;type
06453047;Alphaville;Barueri;SP;1;394
06453008;Alphaville;Barueri;SP;1;394
06453054;Alphaville;Barueri;SP;1;394
06453005;Alphaville;Barueri;SP;1;394
06453031;Alphaville;Barueri;SP;1;394
06453035;Alphaville;Barueri;SP;1;394
06453061;Alphaville;Barueri;SP;1;394
06453045;Alphaville;Barueri;SP;1;394
06453050;Alphaville;Barueri;SP;1;394
06453056;Alphaville;Barueri;SP;1;394
06453009;Alphaville;Barueri;SP;1;394
06453010;Alphaville;Barueri;SP;1;394
06453051;Alphaville;Barueri;SP;1;394
06453028;Alphaville;Barueri;SP;1;394
06453017;Alphaville;Barueri;SP;1;394
06453032;Alphaville;Barueri;SP;1;394
06453059;Alphaville;Barueri;SP;1;394
06453038;Alphaville;Barueri;SP;1;394
06453001;Alphaville;Barueri;SP;1;394
06453048;Alphaville;Barueri;SP;1;394
06453041;Alphaville;Barueri;SP;1;394
06453012;Alphaville;Barueri;SP;1;394
06453040;Alphaville;Barueri;SP;1;394
06453046;Alphaville;Barueri;SP;1;394
06453029;Alphaville;Barueri;SP;1;394
06453027;Alphaville;Barueri;SP;1;394
06453026;Alphaville;Barueri;SP;1;394
06453020;Alphaville;Barueri;SP;1;394
06453003;Alphaville;Barueri;SP;1;394
06453042;Alphaville;Barueri;SP;1;394
06453055;Alphaville;Barueri;SP;1;394
06453044;Alphaville;Barueri;SP;1;394
06453053;Alphaville;Barueri;SP;1;394
06453014;Alphaville;Barueri;SP;1;394
06453022;Alphaville;Barueri;SP;1;394
06453025;Alphaville;Barueri;SP;1;394
06453023;Alphaville;Barueri;SP;1;394
06453034;Alphaville;Barueri;SP;1;394
06453036;Alphaville;Barueri;SP;1;394
06453019;Alphaville;Barueri;SP;1;394
06453024;Alphaville;Barueri;SP;1;394
06453043;Alphaville;Barueri;SP;1;394
06453006;Alphaville;Barueri;SP;1;394
06453062;Alphaville;Barueri;SP;1;394
06453016;Alphaville;Barueri;SP;1;394
06453057;Alphaville;Barueri;SP;1;394
06453011;Alphaville;Barueri;SP;1;394
06453052;Alphaville;Barueri;SP;1;394
06453018;Alphaville;Barueri;SP;1;394
06453033;Alphaville;Barueri;SP;1;394
06453060;Alphaville;Barueri;SP;1;394
06453039;Alphaville;Barueri;SP;1;394
06453002;Alphaville;Barueri;SP;1;394
06453049;Alphaville;Barueri;SP;1;394
06453013;Alphaville;Barueri;SP;1;394
06453030;Alphaville;Barueri;SP;1;394
06453021;Alphaville;Barueri;SP;1;394
06453004;Alphaville;Barueri;SP;1;394
06453015;Alphaville;Barueri;SP;1;394
06453037;Alphaville;Barueri;SP;1;394
06453007;Alphaville;Barueri;SP;1;394
06453058;Alphaville;Barueri;SP;1;394
06473010;Alphaville;Barueri;SP;1;394
06473075;Alphaville;Barueri;SP;1;394
06473001;Alphaville;Barueri;SP;1;394
06473005;Alphaville;Barueri;SP;1;394
06473015;Alphaville;Barueri;SP;1;394
06473020;Alphaville;Barueri;SP;1;394
06454070;Alphaville;Barueri;SP;1;394
06455000;Alphaville;Barueri;SP;1;394
06454020;Alphaville;Barueri;SP;1;394
06454050;Alphaville;Barueri;SP;1;394
06454080;Alphaville;Barueri;SP;1;394
06454010;Alphaville;Barueri;SP;1;394
06454040;Alphaville;Barueri;SP;1;394
06454030;Alphaville;Barueri;SP;1;394
06454000;Alphaville;Barueri;SP;1;394
06455040;Alphaville;Barueri;SP;1;394
06455020;Alphaville;Barueri;SP;1;394
06455030;Alphaville;Barueri;SP;1;394
06455050;Alphaville;Barueri;SP;1;394
06455010;Alphaville;Barueri;SP;1;394
06454065;Alphaville;Barueri;SP;1;394
06454005;Alphaville;Barueri;SP;1;394
06454060;Alphaville;Barueri;SP;1;394
06454045;Alphaville;Barueri;SP;1;394
06454003;Alphaville;Barueri;SP;1;394
06453000;Alphaville;Barueri;SP;1;394
06460121;Alphaville;Barueri;SP;1;386
06453068;Alphaville;Barueri;SP;1;394
06453066;Alphaville;Barueri;SP;1;394
06453064;Alphaville;Barueri;SP;1;394
06453067;Alphaville;Barueri;SP;1;394
06453063;Alphaville;Barueri;SP;1;394
06453065;Alphaville;Barueri;SP;1;386
06472010;Alphaville;Barueri;SP;1;386
06472007;Alphaville;Barueri;SP;1;386
06472004;Alphaville;Barueri;SP;1;386
06472003;Alphaville;Barueri;SP;1;386
06472001;Alphaville;Barueri;SP;1;386
06472002;Alphaville;Barueri;SP;1;386
06472005;Alphaville;Barueri;SP;1;386
06485370;Alphaville;Barueri;SP;1;386
06485350;Alphaville;Barueri;SP;1;386
06485365;Alphaville;Barueri;SP;1;386
06485360;Alphaville;Barueri;SP;1;386
06472020;Alphaville;Barueri;SP;1;386
06473073;Alphaville;Barueri;SP;1;386
06460015;Alphaville;Barueri;SP;1;386
06460070;Alphaville;Barueri;SP;1;386
06460080;Alphaville;Barueri;SP;1;386
06460110;Alphaville;Barueri;SP;1;386
06460055;Alphaville;Barueri;SP;1;386
06460090;Alphaville;Barueri;SP;1;386
06460050;Alphaville;Barueri;SP;1;386
06460010;Alphaville;Barueri;SP;1;386
06460040;Alphaville;Barueri;SP;1;386
06460030;Alphaville;Barueri;SP;1;386
06460100;Alphaville;Barueri;SP;1;386
06460025;Alphaville;Barueri;SP;1;386
06460000;Alphaville;Barueri;SP;1;386
06460020;Alphaville;Barueri;SP;1;386
06458250;Alphaville;Barueri;SP;1;386
06460035;Alphaville;Barueri;SP;1;386
06460060;Alphaville;Barueri;SP;1;386
06472900;Alphaville;Barueri;SP;1;386
06460942;Alphaville;Barueri;SP;1;386
06460931;Alphaville;Barueri;SP;1;386
06455914;Alphaville;Barueri;SP;1;386
06455903;Alphaville;Barueri;SP;1;386
06480900;Alphaville;Barueri;SP;1;386
06473901;Alphaville;Barueri;SP;1;386
06473900;Alphaville;Barueri;SP;1;386
06465930;Alphaville;Barueri;SP;1;386
06465909;Alphaville;Barueri;SP;1;386
06465907;Alphaville;Barueri;SP;1;386
06465904;Alphaville;Barueri;SP;1;386
06465903;Alphaville;Barueri;SP;1;386
06465902;Alphaville;Barueri;SP;1;386
06460930;Alphaville;Barueri;SP;1;386
06460926;Alphaville;Barueri;SP;1;386
06460924;Alphaville;Barueri;SP;1;386
06460923;Alphaville;Barueri;SP;1;386
06460921;Alphaville;Barueri;SP;1;386
06460920;Alphaville;Barueri;SP;1;386
06460913;Alphaville;Barueri;SP;1;386
06460912;Alphaville;Barueri;SP;1;386
06460910;Alphaville;Barueri;SP;1;386
06460907;Alphaville;Barueri;SP;1;386
06460905;Alphaville;Barueri;SP;1;386
06460904;Alphaville;Barueri;SP;1;386
06455941;Alphaville;Barueri;SP;1;386
06455932;Alphaville;Barueri;SP;1;386
06455931;Alphaville;Barueri;SP;1;386
06455930;Alphaville;Barueri;SP;1;386
06455929;Alphaville;Barueri;SP;1;386
06455926;Alphaville;Barueri;SP;1;386
06455925;Alphaville;Barueri;SP;1;386
06455913;Alphaville;Barueri;SP;1;386
06455912;Alphaville;Barueri;SP;1;386
06455910;Alphaville;Barueri;SP;1;386
06455908;Alphaville;Barueri;SP;1;386
06455906;Alphaville;Barueri;SP;1;386
06455905;Alphaville;Barueri;SP;1;386
06455904;Alphaville;Barueri;SP;1;386
06455902;Alphaville;Barueri;SP;1;386
06454942;Alphaville;Barueri;SP;1;386
06454941;Alphaville;Barueri;SP;1;386
06454940;Alphaville;Barueri;SP;1;386
06454913;Alphaville;Barueri;SP;1;386
06454911;Alphaville;Barueri;SP;1;386
06454906;Alphaville;Barueri;SP;1;386
06454901;Alphaville;Barueri;SP;1;386
06454900;Alphaville;Barueri;SP;1;386
06455915;Alphaville;Barueri;SP;1;386
06460936;Alphaville;Barueri;SP;1;386
06460935;Alphaville;Barueri;SP;1;386
06460916;Alphaville;Barueri;SP;1;386
06460909;Alphaville;Barueri;SP;1;386
06465920;Alphaville;Barueri;SP;1;386
06465910;Alphaville;Barueri;SP;1;386
06465905;Alphaville;Barueri;SP;1;386
06460941;Alphaville;Barueri;SP;1;386
06460940;Alphaville;Barueri;SP;1;386
06460934;Alphaville;Barueri;SP;1;386
06460933;Alphaville;Barueri;SP;1;386
06460932;Alphaville;Barueri;SP;1;386
06460927;Alphaville;Barueri;SP;1;386
06460925;Alphaville;Barueri;SP;1;386
06460922;Alphaville;Barueri;SP;1;386
06460917;Alphaville;Barueri;SP;1;386
06460915;Alphaville;Barueri;SP;1;386
06460914;Alphaville;Barueri;SP;1;386
06460911;Alphaville;Barueri;SP;1;386
06460908;Alphaville;Barueri;SP;1;386
06460906;Alphaville;Barueri;SP;1;386
06460903;Alphaville;Barueri;SP;1;386
06460902;Alphaville;Barueri;SP;1;386
06460901;Alphaville;Barueri;SP;1;386
06460900;Alphaville;Barueri;SP;1;386
06455933;Alphaville;Barueri;SP;1;386
06455928;Alphaville;Barueri;SP;1;386
06455927;Alphaville;Barueri;SP;1;386
06455924;Alphaville;Barueri;SP;1;386
06455923;Alphaville;Barueri;SP;1;386
06455921;Alphaville;Barueri;SP;1;386
06455920;Alphaville;Barueri;SP;1;386
06455911;Alphaville;Barueri;SP;1;386
06455907;Alphaville;Barueri;SP;1;386
06455901;Alphaville;Barueri;SP;1;386
06455900;Alphaville;Barueri;SP;1;386
06454943;Alphaville;Barueri;SP;1;386
06454930;Alphaville;Barueri;SP;1;386
06454923;Alphaville;Barueri;SP;1;386
06454920;Alphaville;Barueri;SP;1;386
06454915;Alphaville;Barueri;SP;1;386
06454910;Alphaville;Barueri;SP;1;386
06454905;Alphaville;Barueri;SP;1;386
06454904;Alphaville;Barueri;SP;1;386
06454903;Alphaville;Barueri;SP;1;386
06454902;Alphaville;Barueri;SP;1;386
06455972;Alphaville;Barueri;SP;1;386
06455970;Alphaville;Barueri;SP;1;386
06453970;Alphaville;Barueri;SP;1;386
06460971;Alphaville;Barueri;SP;1;386
06540427;Alphaville;Santana de Parnaíba;SP;1;386
06542089;Alphaville;Santana de Parnaíba;SP;1;386
06541078;Alphaville;Santana de Parnaíba;SP;1;394
06541068;Alphaville;Santana de Parnaíba;SP;1;394
06541020;Alphaville;Santana de Parnaíba;SP;1;394
06541005;Alphaville;Santana de Parnaíba;SP;1;394
06541015;Alphaville;Santana de Parnaíba;SP;1;394
06541010;Alphaville;Santana de Parnaíba;SP;1;394
06541025;Alphaville;Santana de Parnaíba;SP;1;394
06541033;Alphaville;Santana de Parnaíba;SP;1;394
06541035;Alphaville;Santana de Parnaíba;SP;1;394
06541030;Alphaville;Santana de Parnaíba;SP;1;394
06541038;Alphaville;Santana de Parnaíba;SP;1;394
06541055;Alphaville;Santana de Parnaíba;SP;1;394
06541075;Alphaville;Santana de Parnaíba;SP;1;394
06541065;Alphaville;Santana de Parnaíba;SP;1;394
