"id";"role_id";"service";"method";"allowed"
1;1;0;0;1
2;1;0;1;1
3;1;0;2;1
4;1;0;3;1
5;1;0;4;1
6;1;0;5;1
7;1;0;6;1
8;1;0;7;1
9;1;0;8;1
10;1;0;9;1
11;1;0;10;1
12;1;0;11;1
13;1;0;12;1
14;1;0;13;1
15;1;0;14;1
16;1;0;15;1
17;1;0;16;1
18;1;0;17;1
19;1;0;18;1
20;1;0;19;1
21;1;0;20;1
22;1;0;21;1
23;1;0;22;1
24;1;0;23;1
25;1;0;24;1
26;1;0;25;1
27;1;0;26;1
28;1;0;27;1
29;1;0;28;1
30;1;0;29;1
31;1;0;30;1
32;1;0;31;1
33;1;0;32;1
34;2;0;0;1
35;2;0;1;0
36;2;0;2;0
37;2;0;3;1
38;2;0;4;1
39;2;0;5;1
40;2;0;6;1
41;2;0;7;1
42;2;0;8;1
43;2;0;9;1
44;2;0;10;1
45;2;0;11;1
46;2;0;12;0
47;2;0;13;1
48;2;0;14;1
49;2;0;15;1
50;2;0;16;1
51;2;0;17;1
52;2;0;18;1
53;2;0;19;1
54;2;0;20;1
55;2;0;21;1
56;2;0;22;0
57;2;0;23;0
58;2;0;24;0
59;2;0;25;0
60;2;0;26;0
61;2;0;27;0
62;2;0;28;0
63;2;0;29;0
64;2;0;30;1
65;2;0;31;1
66;2;0;32;1
67;2;1;0;1
68;2;1;1;1
69;2;1;2;1
70;2;1;3;1
71;2;1;4;1
72;2;1;5;1
73;2;1;6;1
74;2;1;7;1
75;2;1;8;1
76;2;1;9;1
77;2;1;10;1
78;2;1;11;1
79;2;1;12;1
80;2;1;13;1
81;2;1;14;1
82;2;1;15;1
83;2;1;16;1
84;2;1;17;0
85;2;1;18;0
86;2;1;19;0
87;2;1;20;0
88;2;1;21;0
89;2;1;22;0
90;2;1;23;0
91;2;1;24;0
92;2;1;25;0
93;2;1;26;0
94;2;1;27;1
95;2;1;28;1
96;2;1;29;1
97;2;1;30;1
98;2;1;31;1
99;2;1;32;1
100;3;0;0;0
101;3;0;1;1
102;3;0;2;0
103;3;0;3;1
104;3;0;4;1
105;3;0;5;1
106;3;0;6;1
107;3;0;7;1
108;3;0;8;1
109;3;0;9;1
110;3;0;10;1
111;3;0;11;1
112;3;0;12;1
113;3;0;13;1
114;3;0;14;1
115;3;0;15;1
116;3;0;16;1
117;3;0;17;1
118;3;0;18;1
119;3;0;19;1
120;3;0;20;1
121;3;0;21;1
122;3;0;22;0
123;3;0;23;0
124;3;0;24;0
125;3;0;25;0
126;3;0;26;1
127;3;0;27;1
128;3;0;28;1
129;3;0;29;1
130;3;0;30;1
131;3;0;31;1
132;3;0;32;1
133;3;1;0;0
134;3;1;1;0
135;3;1;2;0
136;3;1;3;0
137;3;1;4;0
138;3;1;5;0
139;3;1;6;0
140;3;1;7;0
141;3;1;8;0
142;3;1;9;0
143;3;1;10;0
144;3;1;11;0
145;3;1;12;0
146;3;1;13;0
147;3;1;14;0
148;3;1;15;0
149;3;1;16;0
150;3;1;17;0
151;3;1;18;0
152;3;1;19;0
153;3;1;20;0
154;3;1;21;0
155;3;1;22;0
156;3;1;23;0
157;3;1;24;0
158;3;1;25;0
159;3;1;26;0
160;3;1;27;0
161;3;1;28;0
162;3;1;29;0
163;3;1;30;0
164;3;1;31;0
165;3;1;32;0
166;4;0;0;0
167;4;0;1;1
168;4;0;2;0
169;4;0;3;1
170;4;0;4;1
171;4;0;5;1
172;4;0;6;1
173;4;0;7;1
174;4;0;8;1
175;4;0;9;1
176;4;0;10;1
177;4;0;11;1
178;4;0;12;0
179;4;0;13;1
180;4;0;14;1
181;4;0;15;1
182;4;0;16;1
183;4;0;17;1
184;4;0;18;1
185;4;0;19;0
186;4;0;20;0
187;4;0;21;0
188;4;0;22;1
189;4;0;23;1
190;4;0;24;1
191;4;0;25;1
192;4;0;26;0
193;4;0;27;0
194;4;0;28;0
195;4;0;29;0
196;4;0;30;1
197;4;0;31;1
198;4;0;32;1
