id;vertical_complex_id;size;description
1;1;39.0;Studio Compacto: Design funcional para otimização de espaço.
2;1;39.6;Studio Plus: Um toque extra de metragem para maior liberdade.
3;1;48.0;Apartamento Essencial: Planta base com 1 dormitório bem distribuído.
4;1;48.6;Varanda Minimalista: O essencial com um respiro ao ar livre.
5;1;49.12;Conforto Otimizado: Espaço ideal para casal, sem desperdícios.
6;1;49.56;Planta Smart: Layout inteligente para máxima funcionalidade.
7;1;50.0;Nível Conforto: Suíte integrada e área de serviço discreta.
8;1;59.24;Opção Família Curta: 1 Suíte e sala ampliada.
9;1;79.19;Configuração Ampliada: Potencial para 2º dormitório ou home office.
10;1;81.35;Planta Master: 2 quartos e área social generosa.
11;1;96.7;Cobertura Baixa: O máximo de espaço interno na torre.
12;2;196.0;Conceito Aconchego: Planta com sala de estar e jantar integradas.
13;2;197.0;Design Contemporâneo: Planta levemente maior, ideal para personalização.
14;2;201.0;Elegância Funcional: Sala de TV e 3 suítes bem dimensionadas.
15;2;306.0;Alto Padrão: 4 suítes, varanda gourmet e elevador privativo.
16;3;86.56;Unidade Padrão: Distribuição clássica para famílias.
17;4;311.51;Cobertura Duplex Superior: 4 suítes e terraço de tirar o fôlego.
18;4;295.68;Planta Premium: Sala principal com pé direito duplo e vista privilegiada.
19;4;319.34;Luxo e Exclusividade: O maior espaço, com opção de 5º dormitório.
20;4;224.51;Opção Varanda: Suítes com acesso direto à sacada.
21;4;228.53;Planta Garden: Unidade térrea com jardim privativo.
22;4;197.25;Elegância Funcional: 3 Suítes e área de serviço completa.
23;4;183.87;Unidade Padrão Conforto: Suíte master ampliada e varanda.
24;4;203.81;Conceito Aconchego: Sala de estar e jantar com iluminação natural.
25;4;139.39;Planta Compacta Premium: 2 Suítes, ideal para quem busca praticidade.
26;4;140.0;Design Otimizado: Metragem aproveitada ao máximo.
27;4;136.39;Versão Essencial: O mais prático da categoria, sem abrir mão da qualidade.
28;4;234.79;Jardim Suspenso: Varanda ampla com potencial de paisagismo.
29;4;223.0;Ambientes Integrados: Fluxo livre entre sala e cozinha gourmet.
30;4;242.42;Exclusividade Total: A metragem mais completa da torre.
31;4;168.43;Otimizado Luxo: Espaço para adega e lavabo social.
32;4;172.25;Conforto Superior: Com closet na suíte principal.
33;5;100.8;Planta Superior: Acima de 100m² para maior liberdade de layout.
34;5;143.61;Loft Duplo: Pé direito alto com área íntima no mezanino.
35;5;116.62;Unidade Padrão: Com a metragem ideal para sua família.
36;5;72.99;Planta Compacta Plus: Studio ou 1 dormitório com área de serviço.
37;5;190.0;Cobertura Baixa: Terraço com potencial para jacuzzi.
38;5;179.87;Conforto King Size: Suítes amplas para camas maiores.
39;5;135.1;Design Modular: Paredes que permitem diferentes configurações.
40;5;155.23;Varanda Estendida: Perfeita para receber amigos.
41;5;96.51;Versão Essencial: O mais prático da categoria.
42;5;72.62;Studio Gourmet: Cozinha aberta e sala aconchegante.
43;6;142.77;Planta Master: 3 suítes e varanda técnica.
44;6;156.58;Varanda Estendida: Mais espaço para seu lazer.
45;6;123.12;Unidade Padrão: Distribuição clássica e funcional.
46;6;116.37;Design Otimizado: Planta com ambientes bem delimitados.
47;6;115.82;Conforto Essencial: A opção ideal para quem busca praticidade.
48;6;94.47;Compacto Funcional: Sala e cozinha integradas.
49;6;94.12;Versão Smart: Metragem inteligente para um dia a dia dinâmico.
50;7;296.95;Unidade Exclusiva: 3 suítes com ampla área social.
51;8;107.56;Planta Essencial: 2 dormitórios com varanda.
52;9;26.11;Micro Studio: Otimização máxima, ideal para investimento.
53;9;38.68;Studio Plus: Com espaço extra para bancada de trabalho.
54;9;38.82;Studio Conforto: Cozinha americana e área de serviço compacta.
55;9;52.78;Loft Urbano: Pé direito duplo com potencial para mezanino.
56;9;26.11;Micro Studio Versão B: Layout espelhado.
57;9;38.32;Studio Varanda: O essencial com um respiro ao ar livre.
58;9;53.35;Loft Garden: Unidade térrea com pequeno pátio.
59;12;175.08;Unidade Padrão: 3 Suítes, varanda gourmet e lavabo.
60;13;162.24;Planta Master: 4 dormitórios ou 3 suítes com escritório.
61;14;172.7;Conforto Ampliado: Mais espaço nas áreas sociais e íntimas.
